,Media,Date,Tweet,Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
124,@CBS,Mon Jun 18 15:00:46 +0000 2018,RT @CBSBigBrother: Meet the cast of #BB20... before anyone else! Start streaming all their live interviews beginning at 11am EST/8am PST on…,0.0,0.0,0.0,1.0,25
125,@CBS,Sun Jun 17 13:00:01 +0000 2018,"Today and every day we celebrate their love, guidance, and support. Happy #FathersDay to every kind of dad! https://t.co/Wffax1khBH",0.9392,0.493,0.0,0.507,26
126,@CBS,Fri Jun 15 18:48:29 +0000 2018,"Casting Alert! @paulwesley, @DaniaJRamirez &amp; @JamesWolk are set to star in the upcoming CBS All Access psychologica… https://t.co/JnZMrzT92n",0.3595,0.128,0.0,0.872,27
127,@CBS,Thu Jun 14 17:30:00 +0000 2018,"In case you missed it, watch the entire #TonyAwards now: https://t.co/Bm0yNV3Ff3 https://t.co/h3YnFkmSQJ",-0.296,0.0,0.167,0.833,28
128,@CBS,Thu Jun 14 16:19:32 +0000 2018,RT @StrangeAngel: Mastermind or maniac? Explore the brilliant mind of Jack Parsons in #StrangeAngel. Now streaming on CBS All Access: https…,0.1779,0.147,0.12,0.734,29
129,@CBS,Tue Jun 12 00:19:23 +0000 2018,"No pain, no gain, ALL Hart! Just one month until the premiere of @TKOCBS hosted by @KevinHart4real. https://t.co/C1yMCglxVn",-0.5562,0.134,0.315,0.551,30
130,@CBS,Mon Jun 11 22:23:06 +0000 2018,"RT @TheNeighborhood: Welcome to #TheNeighborhood, @BethBehrs! The @2BrokeGirls star returns to @CBS in a new sitcom alongside @CedEntertain…",0.5093,0.171,0.0,0.829,31
131,@CBS,Mon Jun 11 19:01:38 +0000 2018,"In case you missed it, watch the entire #TonyAwards now: https://t.co/Bm0yNV3Ff3 https://t.co/3GA5otlcPa",-0.296,0.0,0.167,0.833,32
132,@CBS,Mon Jun 11 14:00:37 +0000 2018,How do you know @SaraBareilles and @joshgroban's music? #TonyAwards https://t.co/POMXBORfUT,0.0,0.0,0.0,1.0,33
133,@CBS,Mon Jun 11 06:19:36 +0000 2018,Here are all the performances from the 2018 #TonyAwards: https://t.co/gN4ItpFlRd https://t.co/fSMNBXKC9r,0.0,0.0,0.0,1.0,34
134,@CBS,Mon Jun 11 06:04:41 +0000 2018,See the complete list of winners from the 2018 #TonyAwards: https://t.co/9XK6CGeber https://t.co/HkUIN4Quej,0.4767,0.22,0.0,0.78,35
135,@CBS,Mon Jun 11 03:10:33 +0000 2018,An end to a magical evening. The Band's Visit wins for Best Musical! #TonyAwards https://t.co/ODza97n8YH,0.8478,0.406,0.0,0.594,36
136,@CBS,Mon Jun 11 03:02:06 +0000 2018,Congratulations are in order for @TheKatrinaLenk! She just won for Best Leading Actress in a Musical. #TonyAwards https://t.co/t9bNvpiEmH,0.92,0.463,0.0,0.537,37
137,@CBS,Mon Jun 11 02:58:30 +0000 2018,"RT @CBSThisMorning: Hmm... something seems off here @SaraBareilles @JoshGroban. 😂

@WaitressMusical @GreatCometBway #TonyAwards https://t.c…",0.4404,0.175,0.088,0.737,38
138,@CBS,Mon Jun 11 02:56:40 +0000 2018,RT @_stobin13: watching the #TonyAwards after going to 3 broadway shows this weekend makes it even better 😍🤩,0.4404,0.153,0.0,0.847,39
139,@CBS,Mon Jun 11 02:56:10 +0000 2018,Tony Shalhoub wins Best Leading Actor in a Musical. #TonyAwards   #TheBandsVisit https://t.co/KcUDSicKI5,0.836,0.467,0.0,0.533,40
140,@CBS,Mon Jun 11 02:53:00 +0000 2018,The Boss looks right at home on the #TonyAwards stage! https://t.co/pwjv4iydkn,0.0,0.0,0.0,1.0,41
141,@CBS,Mon Jun 11 02:47:29 +0000 2018,RT @Aatamianphoto: Springsteen is on the #TonyAwards and I love it.,0.6369,0.318,0.0,0.682,42
142,@CBS,Mon Jun 11 02:44:50 +0000 2018,Inspiration: Get to your YES! #OnceOnThisIsland #TonyAwards https://t.co/Wjp0QIWfXq,0.7978,0.543,0.0,0.457,43
143,@CBS,Mon Jun 11 02:44:37 +0000 2018,The feeling when you win a Tony. 🙌 Congratulations to Once on This Island for winning Best Revival of a Musical!… https://t.co/UpFCqgBTwh,0.9523,0.516,0.0,0.484,44
144,@CBS,Mon Jun 11 02:33:09 +0000 2018,What a beautiful performance by the cast of #TheBandsVisit. #TonyAwards https://t.co/4Hw96kZvrf,0.5994,0.302,0.0,0.698,45
145,@CBS,Mon Jun 11 02:29:18 +0000 2018,"""I'm a living example of how theatre can change you - and it didn't just change me, it saved me."" @JohnLeguizamo at… https://t.co/4ICwMhb6hv",0.4215,0.123,0.0,0.877,46
146,@CBS,Mon Jun 11 02:23:56 +0000 2018,Angels in America takes the win for Best Revival of a Play! #TonyAwards https://t.co/zodW61tw8a,0.8932,0.517,0.0,0.483,47
147,@CBS,Mon Jun 11 02:21:03 +0000 2018,"RT @leahableson: The Once On This Island Goat And Chicken made it to the broadcast, Mama WILL provide #TonyAwards",0.0,0.0,0.0,1.0,48
148,@CBS,Mon Jun 11 02:16:06 +0000 2018,That performance was the GOAT. #TonyAwards https://t.co/mtoU92HipQ,0.0,0.0,0.0,1.0,49
149,@CBS,Mon Jun 11 02:11:03 +0000 2018,Harry Potter and the Cursed Child wins Best Play at the #TonyAwards! @HPPlayNYC https://t.co/WIqJQmtAlN,0.8908,0.491,0.0,0.509,50
150,@CBS,Mon Jun 11 02:05:47 +0000 2018,🎶 “Let's dance this last dance tonight.” 🎶 #TonyAwards #DonnaSummerMusical https://t.co/UAIaglChfv,0.0,0.0,0.0,1.0,51
151,@CBS,Mon Jun 11 02:03:31 +0000 2018,Hope he brought enough birthday cake for everyone! #TonyAwards https://t.co/FlLbKV6oj8,0.4926,0.262,0.0,0.738,52
152,@CBS,Mon Jun 11 01:58:48 +0000 2018,@writerlindsayb You're welcome! #TonyAwards,0.5093,0.523,0.0,0.477,53
153,@CBS,Mon Jun 11 01:53:17 +0000 2018,RT @hjmayer8: I sure do love @DearEvanHansen 💙 #TonyAwards,0.7579,0.481,0.0,0.519,54
154,@CBS,Mon Jun 11 01:51:16 +0000 2018,"RT @Valerie4815: What a birthday present, the Tony audience singing happy birthday to you!! #TonyAwards",0.6467,0.248,0.0,0.752,55
155,@CBS,Mon Jun 11 01:38:23 +0000 2018,If only this performance could go on forever. #TonyAwards @FrozenBroadway https://t.co/p2BMUvyTxr,0.0,0.0,0.0,1.0,56
156,@CBS,Mon Jun 11 01:37:36 +0000 2018,RT @anna_villanueva: Magnificent performance from the cast of @FrozenBroadway! #TonyAwards2018 #TonyAwards #Tonys,0.636,0.276,0.0,0.724,57
157,@CBS,Mon Jun 11 01:30:56 +0000 2018,Glenda Jackson wins Best Leading Actress in a Play. #TonyAwards @threetallwomen https://t.co/GRp1gcBuiW,0.8834,0.563,0.0,0.437,58
158,@CBS,Mon Jun 11 01:29:21 +0000 2018,.@SaraBareilles is totally a Gryffindor. #TonyAwards https://t.co/OPQ7esk2dn,0.0,0.0,0.0,1.0,59
159,@CBS,Mon Jun 11 01:26:03 +0000 2018,RT @IzzyNY202: How impressive are these Marjory Stoneman Douglas students? That #TonyAwards performance reduced me to tears. Amazing.,0.7351,0.296,0.079,0.625,60
160,@CBS,Mon Jun 11 01:25:59 +0000 2018,RT @KatLargent: MAGIC #TonyAwards,0.0,0.0,0.0,1.0,61
161,@CBS,Mon Jun 11 01:24:46 +0000 2018,Such a touching moment at the #TonyAwards. ❤️ https://t.co/4kJWTHVPZ8,0.0,0.0,0.0,1.0,62
162,@CBS,Mon Jun 11 01:24:12 +0000 2018,.@Matt_Morrison welcomes the Marjory Stoneman Douglas High School theatre department to the stage. #TonyAwards https://t.co/5dxa9smeka,0.4019,0.162,0.0,0.838,63
163,@CBS,Mon Jun 11 01:19:59 +0000 2018,So many feels at the #TonyAwards. Congratulations to @arielstachel for winning Best Featured Actor in a Musical!… https://t.co/m1aRNIHPRK,0.9151,0.457,0.0,0.543,64
164,@CBS,Mon Jun 11 01:12:31 +0000 2018,RT @McBenefit: I love everything about you @UzoAduba. #TonyAwards,0.6369,0.375,0.0,0.625,65
165,@CBS,Mon Jun 11 01:08:28 +0000 2018,RT if that musical number by the cast of Carousel blew you away! #TonyAwards https://t.co/CMzMNtcAQO,0.1511,0.102,0.0,0.898,66
166,@CBS,Mon Jun 11 01:08:24 +0000 2018,Nathan Lane saw his #AngelsinAmerica role as a challenge. How will you challenge yourself in 2018? #TonyAwards https://t.co/3WXd6AqgBi,0.1531,0.148,0.0,0.852,67
167,@CBS,Mon Jun 11 01:02:47 +0000 2018,Nathan Lane wins Best Featured Actor in a Play. #TonyAwards @angelsbway https://t.co/xc8M7JtLDE,0.8834,0.563,0.0,0.437,68
168,@CBS,Mon Jun 11 00:58:06 +0000 2018,🌟 @joshgroban and @SaraBareilles are Host Goals. 🌟 #TonyAwards https://t.co/OGQec8cXJ6,0.0,0.0,0.0,1.0,69
169,@CBS,Mon Jun 11 00:52:34 +0000 2018,RT @adub369: This is unbelievable! @SaraBareilles and @joshgroban #TonyAwards,0.2714,0.207,0.0,0.793,70
170,@CBS,Mon Jun 11 00:51:11 +0000 2018,Who lives in a pineapple and just performed at The Tonys? 🍍🎶 The cast of SpongeBob SquarePants: The Musical!… https://t.co/mvFxdh9UJi,0.0,0.0,0.0,1.0,71
171,@CBS,Mon Jun 11 00:50:18 +0000 2018,✨ @LindsayMendez wins Best Featured Actress in a Musical! #TonyAwards @carouselbway https://t.co/MtgFowscN5,0.8883,0.567,0.0,0.433,72
172,@CBS,Mon Jun 11 00:45:14 +0000 2018,A big congratulations to @springsteen for his Special Tony award! ✨ #TonyAwards https://t.co/i16u8uv9aT,0.9134,0.613,0.0,0.387,73
173,@CBS,Mon Jun 11 00:44:36 +0000 2018,Can the 73rd annual #TonyAwards just be three-hours of @TitussBurgess? https://t.co/3rCZwwTUtv,0.0,0.0,0.0,1.0,74
174,@CBS,Mon Jun 11 00:35:41 +0000 2018,"RT @CBSThisMorning: ""We know there are a lot of you out there who have photos of yourself in school plays or community theater."" Post your…",0.25,0.08,0.0,0.92,75
175,@CBS,Mon Jun 11 00:34:45 +0000 2018,Keep your acceptance speeches short or else the #TonyAwards will get the angels involved. #AngelsInAmerica 👼 https://t.co/oznhezRzDc,0.4588,0.15,0.0,0.85,76
176,@CBS,Mon Jun 11 00:31:28 +0000 2018,"If you haven't started singing, you will be the rest of the night. #TonyAwards #MyFairLady https://t.co/jbGXwnru8N",0.0,0.0,0.0,1.0,77
177,@CBS,Mon Jun 11 00:27:42 +0000 2018,RT @marialena_rago: I like this opener for @MyFairLadyBway #TonyAwards,0.3612,0.263,0.0,0.737,78
178,@CBS,Mon Jun 11 00:27:00 +0000 2018,Laurie Metcalf wins Best Featured Actress in a Play! #TonyAwards @threetallwomen https://t.co/y4teyJaRPs,0.8908,0.57,0.0,0.43,79
179,@CBS,Mon Jun 11 00:24:31 +0000 2018,Tina Fey has a boat?? #MeanGirls #TonyAwards https://t.co/phYxmHMd3d,0.0,0.0,0.0,1.0,80
180,@CBS,Mon Jun 11 00:22:15 +0000 2018,Representing the hardest-working men and women in Broadway… ensemble members from every nominated musical tonight!… https://t.co/imlEEnOUla,0.0,0.0,0.0,1.0,81
181,@CBS,Mon Jun 11 00:22:15 +0000 2018,RT @misschae: I love theatre so much. #TonyAwards,0.6369,0.412,0.0,0.588,82
182,@CBS,Mon Jun 11 00:18:16 +0000 2018,On Wednesdays they wear pink and on Sundays they perform at the #TonyAwards. 💕 Who thought that performance by the… https://t.co/w7QDkaX6kF,0.0,0.0,0.0,1.0,83
183,@CBS,Mon Jun 11 00:13:27 +0000 2018,"RT @MichaelJMoritz: ""We are all made perfectly and we all belong” - Andrew Garfield #TonyAwards",0.6369,0.244,0.0,0.756,84
184,@CBS,Mon Jun 11 00:12:31 +0000 2018,Andrew Garfield wins Best Leading Actor in a Play. #TonyAwards @angelsbway https://t.co/s2VQnw6IPP,0.8834,0.563,0.0,0.437,85
185,@CBS,Mon Jun 11 00:06:39 +0000 2018,"RT @nightingalen: Love this opening song! @joshgroban
@SaraBarreilles 
#TonyAwards",0.6696,0.36,0.0,0.64,86
186,@CBS,Mon Jun 11 00:04:15 +0000 2018,✨ @joshgroban and @SaraBareilles take the stage to begin an unforgettable evening. #TonyAwards https://t.co/y9uzlK2DzO,0.3182,0.15,0.0,0.85,87
187,@CBS,Sun Jun 10 23:59:00 +0000 2018,Grab your popcorn... it's time for the #TonyAwards! Go and stream the entire show now: https://t.co/Wo1algQHix https://t.co/JGYTk4NPDN,0.0,0.0,0.0,1.0,88
188,@CBS,Sun Jun 10 23:18:15 +0000 2018,✨ @thegoodfight's Christine Baranski has arrived on the #TonyAwards red carpet! Watch LIVE at 8/7c on CBS! https://t.co/XnXAnPtRrc,0.4374,0.145,0.0,0.855,89
189,@CBS,Sun Jun 10 22:01:25 +0000 2018,"The hosts have arrived! We're LIVE with @SaraBareilles, @joshgroban and more on the #TonyAwards red carpet hosted b… https://t.co/NtarbgywLe",0.0,0.0,0.0,1.0,90
190,@CBS,Sun Jun 10 15:00:01 +0000 2018,Tonight's the night! Join @etnow's @DDirecto on the #TonyAwards' red carpet starting at 5PM ET! https://t.co/hZLOSiIRAT,0.4184,0.157,0.0,0.843,91
191,@CBS,Sat Jun 09 21:00:02 +0000 2018,These two know a thing or two about awards! Watch them light up the stage tomorrow at the #TonyAwards. ✨ https://t.co/KHVZp65oLS,0.68,0.237,0.0,0.763,92
192,@CBS,Sat Jun 09 16:00:00 +0000 2018,Here's everything you need to know before watching the #TonyAwards this Sunday at 8/7c: https://t.co/jcRgNGmLUZ https://t.co/8suUhVPFK6,0.0,0.0,0.0,1.0,93
193,@CBS,Fri Jun 08 19:46:17 +0000 2018,Join @etnow's @DDirecto this Sunday on the #TonyAwards' red carpet. https://t.co/7jS8g10KmY,0.296,0.18,0.0,0.82,94
194,@CBS,Fri Jun 08 15:00:03 +0000 2018,Here's @laChanze with a reminder that you can stream the #TonyAwards this Sunday on CBS All Access! https://t.co/8TDEXzKmyQ,0.0,0.0,0.0,1.0,95
195,@CBS,Fri Jun 08 13:58:15 +0000 2018,"We all get by with a little help from our friends, so what better way to celebrate #NationalBestFriendsDay than to… https://t.co/pIZezbBwaT",0.9078,0.436,0.0,0.564,96
196,@CBS,Thu Jun 07 17:03:26 +0000 2018,"Get ready for show-stopping performances by the casts of the 2018 Tony-nominated shows Mean Girls, SpongeBob Square… https://t.co/NiSx9Bbw0F",0.3612,0.128,0.0,0.872,97
197,@CBS,Wed Jun 06 21:00:24 +0000 2018,Don’t miss a special performance from @springsteen this Sunday at the #TonyAwards: https://t.co/LYYdleaFwU https://t.co/IKkKoITH9y,0.2732,0.176,0.105,0.719,98
198,@CBS,Wed Jun 06 00:08:30 +0000 2018,"RT @CBSThisMorning: .@SaraBareilles and @joshgroban are hosting this Sunday's @TheTonyAwards on @CBS! 

Wednesday, they'll join us LIVE on…",0.3595,0.128,0.0,0.872,99
199,@CBS,Tue Jun 05 22:23:35 +0000 2018,"RT @SU2C: SU2C telecast Co-Executive Producer Bradley Cooper sits down with Mitch Carbon, a pediatric cancer survivor who benefited from #S…",-0.4404,0.1,0.177,0.723,100
200,@CNN,Sun Jul 15 23:22:04 +0000 2018,Democratic Sen. Mark Warner says more Americans should be in the Trump-Putin meeting https://t.co/WrAyFtOWS4 https://t.co/84pcNflHYM,0.0,0.0,0.0,1.0,1
201,@CNN,Sun Jul 15 23:15:07 +0000 2018,A police officer and bystander have been fatally shot near Boston https://t.co/4LwxEUFkyM https://t.co/muflJbjmpN,-0.6369,0.0,0.276,0.724,2
202,@CNN,Sun Jul 15 23:07:05 +0000 2018,A video released by Russian President Vladimir Putin touting his country's potential future weaponry and its suppos… https://t.co/cX9E5D73RV,-0.3818,0.0,0.194,0.806,3
203,@CNN,Sun Jul 15 23:07:05 +0000 2018,Former NHL goalie Ray Emery dies at 35 https://t.co/MIwS3z505n https://t.co/YEqEL2dXpH,0.0,0.0,0.0,1.0,4
204,@CNN,Sun Jul 15 23:00:21 +0000 2018,A video released by Russian President Vladimir Putin touting his country's potential future weaponry and its suppos… https://t.co/ZnqQ3o8Pnv,-0.3818,0.0,0.194,0.806,5
205,@CNN,Sun Jul 15 22:52:05 +0000 2018,Trump administration tries to clarify child reunification plan https://t.co/Kq4jcHm4Uv https://t.co/vNomKJPFmG,0.0,0.0,0.0,1.0,6
206,@CNN,Sun Jul 15 22:45:03 +0000 2018,"Drake vs. the Beatles? It's time to retire the rap vs. rock cliché, writes Jennifer Lynn Stoever for @CNNOpinion… https://t.co/9a4yiC61pp",0.0,0.0,0.0,1.0,7
207,@CNN,Sun Jul 15 22:37:03 +0000 2018,How companies change packaging without alienating customers https://t.co/TBOotsTzmM https://t.co/knhj1FykJV,0.0,0.0,0.0,1.0,8
208,@CNN,Sun Jul 15 22:30:10 +0000 2018,Republican Sen. Rand Paul says asking for the extradition of the Russian intelligence agents indicted for interferi… https://t.co/HQD67sG3N1,0.4767,0.154,0.0,0.846,9
209,@CNN,Sun Jul 15 22:22:04 +0000 2018,"France's World Cup win is a victory for immigrants everywhere, writes Peniel Joseph for @CNNOpinion… https://t.co/VaCuldzGb3",0.5859,0.213,0.0,0.787,10
210,@CNN,Sun Jul 15 22:15:10 +0000 2018,"President Trump suggests he'll bring up indicted Russians with Russian President Vladimir Putin, says it's somethin… https://t.co/hieYbGalBr",0.0,0.0,0.0,1.0,11
211,@CNN,Sun Jul 15 22:00:01 +0000 2018,"During Harry and Meghan's tour in Ireland, a teenage fan handed the Duke and Duchess of Sussex an unexpected presen… https://t.co/a4x7gnqcHD",0.3182,0.108,0.0,0.892,12
212,@CNN,Sun Jul 15 21:46:35 +0000 2018,"Billionaire tech entrepreneur Elon Musk sent a ""kid-size submarine"" to help the 12 boys trapped in the Thai cave. V… https://t.co/Rs3KDU65VD",-0.1779,0.112,0.141,0.747,13
213,@CNN,Sun Jul 15 21:30:00 +0000 2018,Fans are celebrating France's first World Cup victory in 20 years. The team defeated Croatia in the final with a sc… https://t.co/9NXLgHxg60,0.1531,0.143,0.12,0.736,14
214,@CNN,Sun Jul 15 21:15:02 +0000 2018,Florida town reopens beaches after 2 apparent shark attacks https://t.co/MdBHPOBsoz https://t.co/1Tr7c4bhSB,-0.4404,0.0,0.244,0.756,15
215,@CNN,Sun Jul 15 21:00:00 +0000 2018,"""My heart says we all better step up, that almost any patriot with a chance should be thinking about what they can… https://t.co/V5lIbZlGKH",0.5994,0.197,0.0,0.803,16
216,@CNN,Sun Jul 15 20:45:04 +0000 2018,"Sacha Baron Cohen punks politicians in ""Who is America?"" https://t.co/W1u47gD6e6 https://t.co/aEBhCuxN4H",0.0,0.0,0.0,1.0,17
217,@CNN,Sun Jul 15 20:30:14 +0000 2018,"To Russian President Vladimir Putin, President Trump insists he'll be ""different"" https://t.co/qrYJzrfHXs https://t.co/JRzjECvr8G",0.0,0.0,0.0,1.0,18
218,@CNN,Sun Jul 15 20:15:04 +0000 2018,Protests break out in Chicago after a man is fatally shot by police https://t.co/luzD44kkLy https://t.co/coCwSayG7Q,-0.7269,0.0,0.337,0.663,19
219,@CNN,Sun Jul 15 20:00:23 +0000 2018,"It was a golden weekend for Nicola Philippaerts in Chantilly, who picked up his second win of the Longines Global C… https://t.co/WhXzS8Pyn2",0.5859,0.16,0.0,0.84,20
220,@CNN,Sun Jul 15 19:45:18 +0000 2018,Having a rough day? Turn things around with the best *!&amp;$#*% thing you’ll see all week!  A brand-new season of… https://t.co/eRfjhAun8d,0.6988,0.21,0.0,0.79,21
221,@CNN,Sun Jul 15 19:30:09 +0000 2018,Key moments from France's electrifying World Cup final win https://t.co/umO1G6PVfX https://t.co/lqrY56Knnn,0.5859,0.275,0.0,0.725,22
222,@CNN,Sun Jul 15 19:15:11 +0000 2018,The boys who were trapped in a Thai cave mourn the Navy SEAL who died during their rescue https://t.co/bM6XREMD3F https://t.co/7VtM9dDXEO,-0.7579,0.117,0.349,0.534,23
223,@CNN,Sun Jul 15 19:08:00 +0000 2018,RT @cnnsport: Presidential seal of approval: Emmanuel Macron lets loose and celebrates #FRA's World Cup win: https://t.co/nuSIcTUHAv https:…,0.8519,0.394,0.086,0.52,24
224,@CNN,Sun Jul 15 19:00:08 +0000 2018,"Secretary of State Mike Pompeo calls talks with North Korea on returning service members' remains ""productive""… https://t.co/kwFiDlAWEo",0.0,0.0,0.0,1.0,25
225,@CNN,Sun Jul 15 18:57:10 +0000 2018,"RT @cnnsport: Didier Deschamps is just the third man to win the World Cup as both a player and a coach, following in the footsteps of Brazi…",0.5859,0.137,0.0,0.863,26
226,@CNN,Sun Jul 15 18:45:04 +0000 2018,Israel's Prime Minister Benjamin Netanyahu says no ceasefire with Gaza if arson attacks continue… https://t.co/YJfSiWGm6z,-0.6249,0.0,0.282,0.718,27
227,@CNN,Sun Jul 15 18:31:39 +0000 2018,"RT @cnnsport: Before Paul Pogba's goal, a player hadn't scored from outside the box in a World Cup final for 36 years. 

Kylian Mbappé did…",0.0,0.0,0.0,1.0,28
228,@CNN,Sun Jul 15 18:30:13 +0000 2018,The new General Electric still faces many old problems https://t.co/0Nb4l1Kpv9 https://t.co/z5S1odMrrd,-0.4019,0.0,0.213,0.787,29
229,@CNN,Sun Jul 15 18:16:49 +0000 2018,"RT @cnnsport: Joy and despair. 

France wins its second World Cup trophy 👉 https://t.co/wfhwpASrde https://t.co/fyyL9D93XX",0.7351,0.302,0.093,0.605,30
230,@CNN,Sun Jul 15 18:15:08 +0000 2018,Former President Barack Obama is in Kenya for his sister's project. Then he's off to South Africa.… https://t.co/NgLPtwnfMz,0.0,0.0,0.0,1.0,31
231,@CNN,Sun Jul 15 18:00:14 +0000 2018,British Prime Minister Theresa May says President Trump advised her to sue the European Union… https://t.co/bJcfO2m6oj,0.0,0.0,0.0,1.0,32
232,@CNN,Sun Jul 15 17:45:06 +0000 2018,"Back with his son after 8 weeks, a migrant father tells separated families: ""Don't give up"" https://t.co/p4InGiqGcv https://t.co/zGOnvwZqzX",0.0,0.0,0.0,1.0,33
233,@CNN,Sun Jul 15 17:30:14 +0000 2018,Serena Williams sends a message to mothers after Wimbledon loss https://t.co/A2GS0uB9QD https://t.co/FJC0APJUuZ,-0.3182,0.0,0.187,0.813,34
234,@CNN,Sun Jul 15 17:15:07 +0000 2018,Why President Trump is the distraction Russian President Vladimir Putin needs https://t.co/sZ84yjZi9P | Analysis by… https://t.co/T8UD95PCx0,-0.3818,0.0,0.157,0.843,35
235,@CNN,Sun Jul 15 17:00:07 +0000 2018,France wins the World Cup for the second time — overcoming Croatia in the highest-scoring final since 1966… https://t.co/8YXlU5mVBz,0.5719,0.179,0.0,0.821,36
236,@CNN,Sun Jul 15 16:45:07 +0000 2018,Why Kenyans are supporting Croatia in the World Cup final https://t.co/Q4oSqU1Vuu https://t.co/xCWF1nYhTM,0.4404,0.209,0.0,0.791,37
237,@CNN,Sun Jul 15 16:30:15 +0000 2018,Two killed in Nicaragua during attack on university and church https://t.co/PaYVsdm9KS https://t.co/SwlWMkstou,-0.8225,0.0,0.432,0.568,38
238,@CNN,Sun Jul 15 16:15:05 +0000 2018,"President Trump named the European Union, Russia and China as foes to the US, saying the EU has ""taken advantage of… https://t.co/4oulaFDK1l",-0.25,0.08,0.12,0.8,39
239,@CNN,Sun Jul 15 16:00:07 +0000 2018,A federal judge has blasted a declaration from a senior official at the Department of Health and Human Services who… https://t.co/b3x294IZlX,0.0,0.0,0.0,1.0,40
240,@CNN,Sun Jul 15 15:45:04 +0000 2018,"Plagued by injury in recent years, Novak Djokovic cruised to his fourth Wimbledon title after defeating Kevin Ander… https://t.co/J0escZAiLM",-0.6597,0.0,0.241,0.759,41
241,@CNN,Sun Jul 15 15:30:11 +0000 2018,"Why Google built an artificial intelligence lab in Accra, Ghana https://t.co/PpsPZbGGzK https://t.co/O89bbVpR7m",0.4767,0.22,0.0,0.78,42
242,@CNN,Sun Jul 15 15:23:46 +0000 2018,Will Uber's CEO still be able to save the brand's image? https://t.co/j0XtnyTXiA https://t.co/3krHUSBgw9,0.4939,0.211,0.0,0.789,43
243,@CNN,Sun Jul 15 15:00:12 +0000 2018,How do you remember the legacy of President George W. Bush? See how the challenges he faced defined a decade in a n… https://t.co/erBUPxttCA,0.0772,0.058,0.0,0.942,44
244,@CNN,Sun Jul 15 14:30:13 +0000 2018,"From the biggest street art party in Hong Kong to a community art tour, here are six Instagrammable ways to enjoy H… https://t.co/o5cQhyMSbh",0.7096,0.228,0.0,0.772,45
245,@CNN,Sun Jul 15 14:02:56 +0000 2018,RT @CNNPolitics: CNN’s Jake Tapper explains that State of the Union invited and confirmed national security adviser John Bolton to come on…,0.34,0.103,0.0,0.897,46
246,@CNN,Sun Jul 15 14:01:07 +0000 2018,"A rare flood of desert rain has transformed a lake in Australia from an arid, salty basin to a spectacular, watery… https://t.co/XIwMrwYDRI",0.0,0.0,0.0,1.0,47
247,@CNN,Sun Jul 15 13:31:00 +0000 2018,It's not always easy going green. Starbucks and Nestlé customers embraced the brands' moves to environmentally-frie… https://t.co/esLhD2m3O2,-0.3412,0.0,0.131,0.869,48
248,@CNN,Sun Jul 15 13:08:47 +0000 2018,"Rep. Adam Schiff explains why he's calling for the Trump-Putin summit to be canceled: ""We don't need to ask Putin w… https://t.co/BJMF86EU5T",0.0,0.0,0.0,1.0,49
249,@CNN,Sun Jul 15 13:01:08 +0000 2018,A Florida man had a heart attack while laying sod in his front yard to avoid getting a fine from his homeowner's as… https://t.co/OViiP8HzGJ,-0.5423,0.072,0.211,0.717,50
250,@CNN,Sun Jul 15 12:31:00 +0000 2018,Starbucks is going strawless. The coffee company announced Monday that it will phase out plastic straws from all of… https://t.co/4PnjN5f34l,0.0,0.0,0.0,1.0,51
251,@CNN,Sun Jul 15 12:01:05 +0000 2018,"A flight from Hong Kong to the Chinese mainland suddenly lost air pressure and dropped nearly 20,000 feet because t… https://t.co/BBsCczJSWb",-0.5423,0.0,0.2,0.8,52
252,@CNN,Sun Jul 15 11:31:00 +0000 2018,A rescue organization in the Turks and Caicos Islands finds good homes for stray potcake puppies -- and allows tour… https://t.co/GAOMaokzQl,0.7351,0.256,0.0,0.744,53
253,@CNN,Sun Jul 15 11:01:47 +0000 2018,"Hawaii has become the first state in the US to ban the sale of sunscreens that can harm coral reefs. Banana Boat, C… https://t.co/eAWmWt80j4",-0.7964,0.0,0.244,0.756,54
254,@CNN,Sun Jul 15 10:31:00 +0000 2018,There is now only one Blockbuster store left in the United States https://t.co/eVtGl3oeEq https://t.co/3txr2d7UAq,0.7717,0.358,0.0,0.642,55
255,@CNN,Sun Jul 15 10:01:42 +0000 2018,A French bulldog named Darcy was given an oxygen mask on a JetBlue flight after showing signs of distress. Darcy's… https://t.co/l2X1AgX158,-0.5267,0.0,0.159,0.841,56
256,@CNN,Sun Jul 15 09:31:00 +0000 2018,"Build-A-Bear was forced to turn customers away after an onslaught of people came to take advantage of its ""pay your… https://t.co/mR7je3dMgD",-0.34,0.082,0.18,0.738,57
257,@CNN,Sun Jul 15 09:00:05 +0000 2018,"Democrats are releasing way more polls than Republicans. Here's what that could mean. https://t.co/50z1LGik2t | 
An… https://t.co/n5VcrRBw06",0.0,0.0,0.0,1.0,58
258,@CNN,Sun Jul 15 08:31:00 +0000 2018,The first underwater museum in the United States has opened off the coast of northwest Florida… https://t.co/SKiVeXW9mo,0.4215,0.149,0.0,0.851,59
259,@CNN,Sun Jul 15 08:00:05 +0000 2018,Twitter suspends 2 accounts linked to Russian intelligence after hacking indictment https://t.co/wHdsGD7mig https://t.co/QEJtP2DHiR,0.4767,0.22,0.0,0.78,60
